filename,mode,jaccard_index,precision,recall,f1_score,f0.5_score,success_f1,success_f05
Basic-Wall-WAN_TWÄ_GK_100_VS-4246877_L1.json,Target_Layers,0.75,1.0,0.75,0.857,0.938,1,1
Floor-Dämmung-Galerie-1708478_L2.json,Target_Layers,0.333,1.0,0.333,0.5,0.714,0,1
Basic-Wall-Interior---Plumbing--152mm-Stud--144138_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Galerie-Fussbodenaufbau-1353081_L3.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Galerie-Fussbodenaufbau-1353081_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L1.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Basic-Wall-Exterior---Brick-on-Block-138062_L3.json,Target_Layers,0.786,0.917,0.846,0.88,0.902,1,1
Floor-Funicular-Floor-687636_L1.json,Target_Layers,0.667,1.0,0.667,0.8,0.909,1,1
Basic-Roof-Bef-TRP70-1206363_L1.json,Target_Layers,0.5,1.0,0.5,0.667,0.833,0,1
Floor-Galerie-Fussbodenaufbau-1353081_L1.json,Target_Layers,0.333,0.333,1.0,0.5,0.385,0,0
Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L2.json,Target_Layers,0.833,0.833,1.0,0.909,0.862,1,1
Basic-Wall-WAN_TWÄ_MW-VS_300---EI60-11586674_L4.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Funicular-Floor-687636_L2.json,Target_Layers,0.429,0.6,0.6,0.6,0.6,0,0
Basic-Roof-Bef-TRP70-1206363_L2.json,Target_Layers,0.333,1.0,0.333,0.5,0.714,0,1
Basic-Wall-WAN_TWÄ_GK_100---EI30-4246887_L1.json,Target_Layers,0.333,0.333,1.0,0.5,0.385,0,0
Basic-Wall-Exterior---Brick-on-Block-138062_L1.json,Target_Layers,0.5,0.5,1.0,0.667,0.556,0,0
Basic-Wall-WAN_ASW_DÄ-PU_300-5370817_L1.json,Target_Layers,0.667,0.8,0.8,0.8,0.8,1,1
Basic-Wall-Party-Wall---CMU-Residential-Unit-Dimising-Wall-139234_L3.json,Target_Layers,0.667,0.667,1.0,0.8,0.714,1,1
Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Exterior---Brick-on-Block-138062_L6.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-DCH_DÄ-AS_250-7601562_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-BBA_BE-DÄ_120-Schmutzstreifen-12439757_L3.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Floor-DCH_BLECH_53-13862065_L1.json,Target_Layers,0.333,1.0,0.333,0.5,0.714,0,1
Floor-BBA_BE-DÄ_100-BG1-7326415_L1.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Floor-Residential---Wood-Joist-with-Subflooring-144800_L2.json,Target_Layers,0.286,0.667,0.333,0.444,0.556,0,0
Basic-Wall-FAS_ASW_DÄ-VHF_180-13656021_L1.json,Target_Layers,0.429,1.0,0.429,0.6,0.789,0,1
Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Finish-Floor---Wood-169093_L2.json,Target_Layers,0.75,1.0,0.75,0.857,0.938,1,1
Floor-Finish-Floor---Ceramic-Tile-169772_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-FAS_ASW_DÄ-PU_325-11226723_L1.json,Target_Layers,0.833,0.833,1.0,0.909,0.862,1,1
